nes_Mild_vs_Control	fdr_Mild_vs_Control	nes_Moderate_vs_Mild	fdr_Moderate_vs_Mild	nes_Severe_vs_Moderate	fdr_Severe_vs_Moderate
POU3F2	0.962693400211794	0.736500811450878	0.399597315612678	0.842827242114739	-0.323860180141222	0.864392220466565
POU3F3	1	1	1	1	1	1
POU3F4	1	1	1	1	1	1
POU4F1	-1.25284474333998	0.674007210229043	0.129067399494363	0.929523503192853	-0.551715737716216	0.778003674234246
POU4F2	0.13088444018803	0.973829306570502	0.389962704156284	0.844364496958485	0.532476593232106	0.78356625649086
POU4F3	1	1	1	1	1	1
POU5F1	-0.923488961084447	0.760256162665743	2.63546391297929	0.0570374595127937	1.91621958287591	0.21487907738897
POU6F1	1	1	1	1	1	1
POU6F2	1	1	1	1	1	1
PPARA	-0.376814698778942	0.932775072343588	-1.44545046833044	0.396237109415855	-2.38200613464609	0.103491024159254
PPARD	1.17087899523924	0.688229811176503	1.11265561763108	0.519997023441045	-0.174206826925239	0.927779145670201
PPARG	0.324048188103811	0.953843885110116	-1.63748676982354	0.323599111535888	-1.81068430647918	0.25163295586769
PPARGC1A	0.617482019183582	0.889960159928574	-1.3734455877094	0.418917216007793	1.49787040179489	0.353490026187034
PPARGC1B	1	1	1	1	1	1
PPP1R13L	1	1	1	1	1	1
PRDM1	0.254902972906397	0.957975387322644	0.89573710105072	0.644884752357384	0.753409363550537	0.692406073508159
PRDM10	1	1	1	1	1	1
PRDM13	1	1	1	1	1	1
PRDM14	1	1	1	1	1	1
PRDM16	1	1	1	1	1	1
PRDM2	0.964974454723659	0.736500811450878	0.952197516435979	0.616787352126741	-1.01611752959952	0.561710266444609
PRDM4	1	1	1	1	1	1
PRDM5	1	1	1	1	1	1
PRDM8	1	1	1	1	1	1
PREB	1.89189180018297	0.359123563346937	0.0275914851256466	0.983099408365702	0.219751857233594	0.920152833402193
PRMT5	1	1	1	1	1	1
PROP1	1	1	1	1	1	1
PROX1	2.10622688441223	0.281965867078906	1.76868323486158	0.270721193167828	1.02366706347016	0.55696437088842
PRRX1	0.370108545737851	0.932775072343588	-1.14558314670428	0.503063487335771	2.60856769863268	0.0632072390530343
PRRX2	1	1	1	1	1	1
PTF1A	1	1	1	1	1	1
PURA	-0.146873463970531	0.973829306570502	0.779406531256021	0.672251711833641	-0.0302694085325816	0.989977920107707
PURB	1	1	1	1	1	1
RARA	1.96116761252992	0.32521801867596	2.63844181389145	0.0570374595127937	4.68863407029442	0.000113353586041697
RARB	1.28512764262668	0.657847677221154	0.221408697225132	0.913683162352635	1.55628960363938	0.333487163827708
RARG	2.37125583656945	0.200243025166132	-0.707959044284233	0.697894163939854	1.82109669353083	0.25163295586769
RAX	1	1	1	1	1	1
RB1	-0.471104927864015	0.926766352502805	-0.85531133117564	0.652456994077051	-1.51801286595953	0.344627021242397
RBAK	1	1	1	1	1	1
RBBP8	1	1	1	1	1	1
RBCK1	1	1	1	1	1	1
RBFOX2	1	1	1	1	1	1
RBPJ	1.99124531267158	0.316364051949288	-0.0923649166177494	0.954531216143878	0.243109814115013	0.906945582985661
RBPJL	1	1	1	1	1	1
RCOR1	1	1	1	1	1	1
RCOR2	-0.144556207741074	0.973829306570502	2.27488561565544	0.120188011360391	1.58610773440447	0.3251824076272
REL	4.70211305986489	0.000297135210867777	4.81193162074745	6.63454575243168e-05	4.59774254220567	0.000164288556262286
RELA	4.73685166432296	0.000297135210867777	6.87520101553747	1.19059156468996e-09	5.58225765735782	1.71236506152146e-06
RELB	2.66943959027282	0.118895099412972	3.89686065967601	0.00233074662630096	4.46409609425092	0.000280620047673035
RERE	1	1	1	1	1	1
REST	1.17262645947503	0.688229811176503	-1.38163116695999	0.418917216007793	2.09401230387973	0.159892521009967
RFX1	2.02719122465565	0.311454814744469	1.60940411813661	0.331784273345655	0.297672378173194	0.875158439856496
RFX2	1	1	1	1	1	1
RFX3	1	1	1	1	1	1
RFX4	1	1	1	1	1	1
RFX5	3.85019084255743	0.00523853081321371	2.33392138123387	0.107705781676827	0.539541863934449	0.781951751148584
RFX6	1	1	1	1	1	1
RFXANK	4.64223586547572	0.000331447159573623	3.5848439879364	0.00525974113209648	1.3931973258476	0.4085462942848
RFXAP	4.37907666655193	0.000764096744061457	3.65473822646254	0.00436898493473973	1.24607277302682	0.468510080431317
RHOXF1	1	1	1	1	1	1
RLF	1	1	1	1	1	1
RNF14	1	1	1	1	1	1
RORA	-0.537439681787651	0.913556089736149	1.19046572838866	0.493714665010251	1.35307358461214	0.417985741965752
RORB	1	1	1	1	1	1
RORC	-1.17806108180438	0.688229811176503	0.188211924971272	0.920938035254768	-0.717556743676423	0.708588348361311
RREB1	1	1	1	1	1	1
RUNX1	2.65189659097293	0.121536017900645	3.15833757379098	0.0183107145054949	3.4341790042291	0.0106743521145092
RUNX1T1	1	1	1	1	1	1
RUNX2	1.36812586748606	0.633489339547662	3.66825810080142	0.00436898493473973	3.12309022898723	0.0224481692930455
RUNX3	1.00418116016485	0.731154942039271	-1.54537816177321	0.356267832377088	-0.842478048515229	0.649361361761945
RUVBL1	1	1	1	1	1	1
RXRA	0.0543121177979716	0.987492142627992	-0.758592883311016	0.677502592186843	1.91321197308707	0.21487907738897
RXRB	0.161357852714514	0.972988917374211	-0.912280396548167	0.638089885907175	1.36253912046274	0.414015511146758
RXRG	1	1	1	1	1	1
RYBP	1	1	1	1	1	1
SALL1	1	1	1	1	1	1
SALL2	1	1	1	1	1	1
SALL3	0.873483232096469	0.762305589782113	-1.48306314997602	0.379329783254239	-0.482029298501979	0.803464822227296
SALL4	-0.816765072871903	0.799044065013688	-0.549572596028028	0.783607101711211	0.674750961787293	0.730137261894744
SAP30	1	1	1	1	1	1
SATB1	0.333382340971664	0.950372787183034	1.66166070270282	0.313932519163645	0.504599714143559	0.794138309757447
SATB2	-0.286098943414546	0.957975387322644	0.647859929084281	0.729468440920941	-0.459207264145216	0.808657783224785
SCRT1	1	1	1	1	1	1
SCX	0.235700916070181	0.962536504605234	2.58534656937606	0.0637854872641686	0.745467465619664	0.697893242133246
SETBP1	1	1	1	1	1	1
SF1	0.391734891797203	0.930769418574623	-0.431659177695706	0.829969188919738	1.13203344797729	0.504555929242199
SFPQ	-1.26844782664863	0.659643391850964	0.179675800413916	0.922344043515947	-1.10577768657985	0.513611687928828
SHOX	1	1	1	1	1	1
SHOX2	1	1	1	1	1	1
SIM1	1	1	1	1	1	1
SIM2	-0.741345579440859	0.816497619937636	-1.74349510083191	0.27576245117379	-1.13545693033304	0.504555929242199
SIN3A	2.20073102185001	0.250229314783721	-0.790029715638396	0.666202981434208	0.160897042546973	0.931934595721835
SIN3B	1	1	1	1	1	1
SIRT1	-0.745699418673711	0.816497619937636	-0.336285527622319	0.874394977307393	-0.977659494665475	0.579192884872976
SIRT6	1	1	1	1	1	1
SIX1	-0.112811627328226	0.976937796820143	2.0330525118307	0.18520034189995	0.639808756961327	0.747804798209905
SIX2	1	1	1	1	1	1
SIX3	1	1	1	1	1	1
SIX4	-0.495712256516058	0.926766352502805	0.410325727998326	0.841049272766241	1.3802347285112	0.410398622627183
SIX5	1	1	1	1	1	1
SKI	1	1	1	1	1	1
SKIL	0.275209403270423	0.957975387322644	0.860237980352607	0.651349857649777	0.923128527409263	0.604051507496562
SLC2A4RG	1	1	1	1	1	1
SMAD1	0.217448999357564	0.962536504605234	0.0423160989114983	0.973880743875068	2.11754420642579	0.157930382188812
SMAD2	-0.128312872954744	0.973851682716404	1.83275984878095	0.249804825616833	2.90848647046157	0.0361304358883396
SMAD3	1.56857904219539	0.525281661634938	5.71299499816625	7.11665024439217e-07	6.52237331686677	1.99652118625575e-08
SMAD4	1.02063696899632	0.724020700956856	4.28978066801889	0.000573312520451185	5.14133262660949	1.31169701171834e-05
SMAD5	2.11421564637034	0.280347665416919	0.780243841720848	0.672251711833641	0.923173551328204	0.604051507496562
SMAD6	0.203546541184107	0.965937010689331	0.380225696046231	0.84776584647001	-2.03610853470838	0.173263792925552
SMAD7	0.463580042141496	0.926766352502805	-2.06511550148246	0.178192588435427	-1.9589379014167	0.200828294622567
SMAD9	1	1	1	1	1	1
SMARCA1	0.608423650446504	0.889960159928574	-0.918141550757974	0.638089885907175	-0.299737601266971	0.875158439856496
SMARCA4	-0.711494491660961	0.835369198818686	-0.966106889472383	0.609850102665118	-1.36059233865023	0.414015511146758
SMARCA5	-2.22050785263927	0.245544334413043	-0.652697965455939	0.729289674248418	-1.56016892401687	0.333487163827708
SMARCB1	1	1	1	1	1	1
SMARCC1	1	1	1	1	1	1
SMARCC2	1	1	1	1	1	1
SMARCD3	1	1	1	1	1	1
SMARCE1	1	1	1	1	1	1
SNAI1	0.199244091209443	0.965955139031731	0.134984747181719	0.928725617513374	-0.232635752459145	0.912514611276982
SNAI2	0.388344049717564	0.931681136093589	1.45735984633661	0.392839681784586	0.371304191785724	0.850429737045358
SND1	1	1	1	1	1	1
SNW1	1	1	1	1	1	1
SOHLH1	1	1	1	1	1	1
SOHLH2	1	1	1	1	1	1
SON	1	1	1	1	1	1
SOX1	1	1	1	1	1	1
SOX10	-0.281675628522776	0.957975387322644	0.915488570986717	0.638089885907175	2.93913720581993	0.0344795605215128
SOX11	1.00369758169227	0.731154942039271	0.576200916188037	0.769987247595608	0.863445250948319	0.637646988751925
SOX14	1	1	1	1	1	1
SOX15	1	1	1	1	1	1
SOX17	0.218668272476423	0.962536504605234	-0.0559648141225605	0.968802102323053	1.37483007835858	0.410398622627183
SOX18	-0.4383458422967	0.926766352502805	-0.803520894420667	0.664769779431914	0.554322171760272	0.778003674234246
SOX2	-0.772476762668129	0.805710998626191	-1.35913126913829	0.422094884871931	-0.554307867124678	0.778003674234246
SOX21	1	1	1	1	1	1
SOX3	1	1	1	1	1	1
SOX4	-1.57495294521587	0.523694769494417	-0.791541925295408	0.666202981434208	-1.15047877092116	0.500008241552815
SOX5	-1.86543506024961	0.369520596067945	-1.35555759192499	0.423068888006708	-0.627009173877858	0.754704275387942
SOX6	-0.532282397032905	0.913556089736149	-1.18674282003281	0.493763195507761	0.0254670124686802	0.989977920107707
SOX7	1	1	1	1	1	1
SOX8	1	1	1	1	1	1
SOX9	0.80268576339761	0.804903355899697	1.51708785114364	0.367359997348244	1.68113346319779	0.295631190395253
SP1	4.15750930319468	0.00185641774311991	6.57296476930234	7.11486179895413e-09	5.48810289722216	2.50650442247039e-06
SP100	1	1	1	1	1	1
SP140	1	1	1	1	1	1
SP2	1.02190149513261	0.724020700956856	0.212462454293592	0.913683162352635	1.28118799247121	0.452837842427964
SP3	3.92013679856802	0.00425531339974037	4.14203372908425	0.000993131541908927	3.57692286373162	0.0069172890805825
SP4	-0.738678497518893	0.816858448484533	-0.876390680829311	0.644884752357384	1.11677639151309	0.511341941539625
SP5	1	1	1	1	1	1
SP6	1	1	1	1	1	1
SP7	0.948934907098821	0.746079985263699	2.66622960612455	0.0546421024044661	2.60860793012413	0.0632072390530343
SP8	1	1	1	1	1	1
SPDEF	0.872135383339854	0.762305589782113	-0.879314840650757	0.644884752357384	0.622026483621215	0.754838944325781
SPEN	1	1	1	1	1	1
SPI1	4.85373523698045	0.000297135210867777	4.8403457595697	6.23224531680335e-05	3.18012345683059	0.0193048883482707
SPIB	-0.00868928116519509	0.999136142470438	-0.201703688557437	0.91940531258389	0.0862714922192302	0.962556111821478
SPIC	2.97490288317376	0.0790155788984495	1.14673474217795	0.503063487335771	-0.490729277373847	0.799917792097109
SPZ1	1	1	1	1	1	1
SRCAP	1	1	1	1	1	1
SREBF1	0.550919723441345	0.910126468434611	1.31464902731766	0.440883828980759	1.0505223576029	0.541006525315778
SREBF2	0.548109633513308	0.910126468434611	-0.608196860709158	0.747837328878025	1.17606748264879	0.491924144119556
SRF	-0.218077746253971	0.962536504605234	2.97384436927175	0.0292573019295691	2.8083441428316	0.0428848619951748
SRSF2	0.212675295139862	0.962536504605234	2.89550221925617	0.0336038011898526	1.52727061204905	0.343203213731239
SRY	-0.881765338007173	0.762305589782113	0.317618184244896	0.879777035413717	0.878384689261257	0.630660051555018
SSRP1	1.19220932730827	0.688229811176503	3.42824090619996	0.00815188429647928	2.04908950814471	0.172522836747225
ST18	1	1	1	1	1	1
STAT1	5.39684133203005	3.9134630837413e-05	6.19178935016912	4.90326491643004e-08	2.69073916634786	0.0539980552754343
STAT2	1.64298070517127	0.482693799821361	2.75160130990429	0.0462416165614287	0.981529208220963	0.577587333040208
STAT3	3.48661418889042	0.0188169893680159	4.1587022074932	0.000971974211544465	2.95531579171221	0.0337776293648668
STAT4	0.345522032375114	0.94615286494549	0.434796662631674	0.828919233580315	1.71738442260095	0.281395679063613
STAT5A	2.31456125583068	0.205302124083591	2.90164417491049	0.0334668942782824	2.62824396340236	0.0617789323825772
STAT5B	0.859866816280498	0.773026257129859	1.40716790599416	0.409861888543792	1.13594263845211	0.504555929242199
STAT6	-0.0724073764911592	0.981397547531904	0.692611675972973	0.701021276533609	1.30183801610708	0.447167503812792
STOX1	1	1	1	1	1	1
SUPT20H	1	1	1	1	1	1
SUPT3H	1	1	1	1	1	1
TADA2A	0.983991425826381	0.736500811450878	-0.564554735833611	0.7753218851913	-0.584571850179603	0.763626663248962
TAF1	0.69890849219448	0.835369198818686	1.88133141541723	0.240300239851613	1.04849074710211	0.541006525315778
TAF12	1	1	1	1	1	1
TAF4	1	1	1	1	1	1
TAF5	1	1	1	1	1	1
TAL1	2.36234061352408	0.200243025166132	0.904522868276615	0.643351858129147	0.730921562846922	0.702107895684901
TBL1X	1	1	1	1	1	1
TBL1XR1	1	1	1	1	1	1
TBP	1.12168733084909	0.688229811176503	2.52284320760677	0.0725549565928079	2.15269457457257	0.154609357344743
TBPL1	1.65347941773618	0.477205118920047	2.09697962461699	0.168856371713323	1.6093675216918	0.319836461504699
TBPL2	1.88677080788671	0.359508408585083	1.8190273515853	0.251490941556209	1.39353734124726	0.4085462942848
TBR1	1	1	1	1	1	1
TBX1	-0.888513628047258	0.762305589782113	-0.525523538613088	0.793003515814947	0.543152246256953	0.780445656711889
TBX10	1	1	1	1	1	1
TBX15	2.24673402883477	0.237118439738112	0.619950476485558	0.742458067932788	-0.0899217450324513	0.962556111821478
TBX18	0.879342577149948	0.762305589782113	1.50388358442612	0.367868969968406	1.45785191602395	0.373300862935714
TBX19	1	1	1	1	1	1
TBX2	-0.772430395204231	0.805710998626191	-1.5340673816189	0.360662726737454	-1.76090434253026	0.259499432245333
TBX20	1	1	1	1	1	1
TBX21	1.05966480208119	0.712599467416434	2.45603302899363	0.0853232647487792	1.37413145350404	0.410398622627183
TBX22	1	1	1	1	1	1
TBX3	-0.153514580020703	0.973829306570502	-1.31509582359571	0.440883828980759	-1.81051924947981	0.25163295586769
TBX4	1	1	1	1	1	1
TBX5	1.29183451307948	0.657847677221154	-2.24907851929264	0.122293599026453	-1.00480628563199	0.567776604837508
TBX6	1	1	1	1	1	1
TBXT	0.170143798735546	0.967142630640593	1.28357383755094	0.451175382664296	1.47234138990111	0.367945097810797
TCF12	0.216084319255902	0.962536504605234	-0.231663109405971	0.911592686709828	-0.193638229710576	0.926768380101693
TCF15	1	1	1	1	1	1
TCF20	1	1	1	1	1	1
TCF21	-3.35057159856361	0.0273718475962074	-0.42011371931972	0.835043291291731	-0.40413786166894	0.83874204610437
TCF23	1	1	1	1	1	1
TCF3	1.12968518830954	0.688229811176503	2.38299820348865	0.0981030146840524	2.69247853313733	0.0539980552754343
TCF4	2.14821459473569	0.265058010395086	3.49648887880012	0.00670083768484046	4.44694221175691	0.000280620047673035
TCF7	0.132751215885189	0.973829306570502	2.04541941576568	0.183491080246832	2.13182109043136	0.157422817137925
TCF7L1	1	1	1	1	1	1
TCF7L2	1.08106384865463	0.701846138169475	2.7981784143785	0.0417648175521108	4.81756417348109	6.45003265631927e-05
TCFL5	1	1	1	1	1	1
TEAD1	0.634161957442232	0.882231543806606	0.589038079704918	0.76179861223128	1.10731863757156	0.513611687928828
TEAD2	1	1	1	1	1	1
TEAD4	0.0341381036410311	0.991672390058397	0.40842942245646	0.841049272766241	0.715937988319542	0.708588348361311
TEF	-0.151081051934054	0.973829306570502	1.37445477536359	0.418917216007793	0.38760550190696	0.844948015920688
TERF2	1	1	1	1	1	1
TET1	-0.917093216565782	0.761754117393216	0.889551085653242	0.644884752357384	1.67515301566645	0.296080497761396
TET2	1	1	1	1	1	1
TFAM	1	1	1	1	1	1
TFAP2A	2.04896688455674	0.307217221025299	1.45950540699877	0.392839681784586	1.8030657512094	0.252668969431146
TFAP2B	-0.177271927366205	0.967142630640593	0.711267351281297	0.696663342383205	2.09939596924157	0.159892521009967
TFAP2C	-1.24286213878982	0.674656554000572	-0.529940839336635	0.792581225643575	-0.0105353393400387	0.997427771481993
TFAP2D	1	1	1	1	1	1
TFAP2E	1	1	1	1	1	1
TFAP4	2.7176133047898	0.118895099412972	2.34142177259174	0.107201501259045	2.46067749554884	0.0909266488627311
TFCP2	-0.385137353800887	0.931681136093589	2.24993475249842	0.122293599026453	0.845616553993585	0.648337228263047
TFCP2L1	1	1	1	1	1	1
TFDP1	1.30613898203661	0.657847677221154	3.2185607073734	0.0158166375312115	2.3167480544801	0.117213609246478
TFDP2	1	1	1	1	1	1
TFDP3	1	1	1	1	1	1
TFE3	-0.188132331517114	0.967142630640593	1.70630710342934	0.296770050649965	0.46612023506857	0.807711106703602
TFEB	1	1	1	1	1	1
TFEC	1	1	1	1	1	1
TGFB1I1	-0.555335406134364	0.910126468434611	1.66034168750493	0.313932519163645	2.64808765802021	0.0591231687743615
TGIF1	1	1	1	1	1	1
THAP1	1	1	1	1	1	1
THAP11	0.611796486899358	0.889960159928574	0.455287477270008	0.821972039221043	-0.864983504362199	0.637646988751925
THAP12	1	1	1	1	1	1
THAP7	1	1	1	1	1	1
THAP9	1	1	1	1	1	1
THRA	0.876672256322157	0.762305589782113	-0.152262229384459	0.92343487065928	0.0828205984025383	0.962556111821478
THRB	0.269105448072694	0.957975387322644	-2.01463183145165	0.192085221778978	0.687641399101681	0.725571790710844
TLE1	1	1	1	1	1	1
TLE3	1	1	1	1	1	1
TLE4	1	1	1	1	1	1
TLE5	0.273887854033095	0.957975387322644	2.23601567827584	0.123960842311715	1.65351231234601	0.305921223240815
TLX1	1.29533517447633	0.657847677221154	0.809018457720839	0.661581132795849	1.16167056652953	0.497663069709838
TLX2	1	1	1	1	1	1
TLX3	-1.31413939406055	0.656248166651328	0.485373560364025	0.809880018975839	0.200967662738944	0.926768380101693
TOB1	1	1	1	1	1	1
TOX	1	1	1	1	1	1
TOX2	1	1	1	1	1	1
TOX3	-0.543123529118581	0.913004913027876	0.181637857620025	0.922344043515947	0.682298116057465	0.728324003149444
TP53	3.35981673647978	0.0273718475962074	5.22062462134531	9.35372929616471e-06	5.36455374034665	4.25666523258384e-06
TP53BP1	1	1	1	1	1	1
TP63	0.108853904445847	0.976937796820143	0.98625951011139	0.599203003161251	1.79277362858145	0.254539524825068
TP73	0.965140737003356	0.736500811450878	1.6058551100533	0.33240647316409	2.88013832533907	0.0388742239060248
TRERF1	-2.79130870336652	0.113104038505082	-0.831179214509389	0.654157463622386	0.210763479184456	0.924389327666917
TRIB3	1	1	1	1	1	1
TRIM14	1	1	1	1	1	1
TRIM15	1	1	1	1	1	1
TRIM21	1	1	1	1	1	1
TRIM22	1	1	1	1	1	1
TRIM24	1	1	1	1	1	1
TRIM25	1	1	1	1	1	1
TRIM27	1	1	1	1	1	1
TRIM28	1	1	1	1	1	1
TRIM31	1	1	1	1	1	1
TRIM5	1	1	1	1	1	1
TRIM62	1	1	1	1	1	1
TRIM8	1	1	1	1	1	1
TRPS1	0.170964111767629	0.967142630640593	0.454317827564085	0.821972039221043	0.660074165926497	0.736370923004351
TRRAP	1	1	1	1	1	1
TSC22D1	1	1	1	1	1	1
TSG101	1	1	1	1	1	1
TSHZ1	1	1	1	1	1	1
TSHZ3	1	1	1	1	1	1
TTF1	0.964803101933897	0.736500811450878	1.14866236264626	0.503063487335771	1.29757498588572	0.448691509421935
TWIST1	1.1888757635815	0.688229811176503	1.28529285359669	0.451175382664296	2.49631582394391	0.0832278174686342
TWIST2	1.39348958911972	0.620546558889896	1.85976488247555	0.243651988982828	2.26832482034957	0.128565963301618
UBP1	1	1	1	1	1	1
UBTF	-0.262529234066486	0.957975387322644	0.220817197415348	0.913683162352635	-1.07508680982392	0.529544469675329
UNCX	1	1	1	1	1	1
URI1	1	1	1	1	1	1
USF1	2.67895784965945	0.118895099412972	1.83975916041641	0.248161302789569	3.31640551324946	0.0142196839039806
USF2	0.465744089202099	0.926766352502805	0.822558867404579	0.656531534413701	1.33240252778623	0.432106673199222
UTF1	1	1	1	1	1	1
VAX1	1	1	1	1	1	1
VAX2	1	1	1	1	1	1
VDR	2.17789178652616	0.257150489750207	2.33925421010603	0.107201501259045	2.58113428952597	0.0668480070661015
VENTX	1	1	1	1	1	1
VEZF1	1	1	1	1	1	1
VHL	-0.524128453533337	0.914136244651332	1.03158370095576	0.562606975257875	1.22173177676446	0.479038609992406
VSX1	1	1	1	1	1	1
VSX2	0.260970634285152	0.957975387322644	-1.13843290825921	0.506017166969917	-1.61001063506301	0.319836461504699
WNT3A	1	1	1	1	1	1
WT1	1.82965136280921	0.377022376866958	1.41878525299288	0.407193947664633	1.59506490697096	0.324226322790013
WWTR1	1	1	1	1	1	1
XBP1	1.353349604172	0.642529558364469	-0.238562386356829	0.911592686709828	0.583114196746904	0.763626663248962
XPC	1	1	1	1	1	1
YAP1	1	1	1	1	1	1
YBX1	1.52097712987132	0.544976953733048	0.837526189622604	0.654157463622386	-0.569890643989076	0.772164304820602
YBX2	1	1	1	1	1	1
YBX3	1.05403029428924	0.712599467416434	0.582010984877091	0.766451908921131	-0.204992885426946	0.925828205820468
YY1	0.855760804856953	0.774859819663907	0.288647649471214	0.887532312038653	0.00502875886864479	0.999139217446786
YY2	1	1	1	1	1	1
ZBED1	0.470809134051312	0.926766352502805	0.95475095227672	0.616380533702894	2.27503789843867	0.128304949312405
ZBED6	1	1	1	1	1	1
ZBTB10	1	1	1	1	1	1
ZBTB12	1	1	1	1	1	1
ZBTB14	-1.32111182111752	0.653670407273468	-1.95226927124335	0.216753967283517	-0.324481685578977	0.864392220466565
ZBTB16	-1.83076123402791	0.377022376866958	1.37539033179659	0.418917216007793	0.0869590989696124	0.962556111821478
ZBTB17	1.19627945019391	0.688229811176503	1.94720138877053	0.216946083735093	0.491743274312413	0.799917792097109
ZBTB18	-1.90537084775559	0.357368024984945	-0.798005205138886	0.666164483468228	-1.23253833879692	0.477721016538899
ZBTB2	1	1	1	1	1	1
ZBTB20	1	1	1	1	1	1
ZBTB22	1	1	1	1	1	1
ZBTB32	1	1	1	1	1	1
ZBTB33	-0.0631066989010379	0.985429968110664	-0.824941230321339	0.65618516718466	-2.15259403704399	0.154609357344743
ZBTB38	1	1	1	1	1	1
ZBTB4	-1.79423173481827	0.396149631814925	-0.441413947906953	0.826506523683114	2.39481845264875	0.101293879904031
ZBTB44	1	1	1	1	1	1
ZBTB48	1	1	1	1	1	1
ZBTB5	1	1	1	1	1	1
ZBTB7A	-1.12877297387882	0.688229811176503	-0.0465213812398315	0.973012675530121	-2.823606099031	0.0421535834863934
ZBTB7B	1.4030583895934	0.620546558889896	2.42404107956568	0.0894575504580211	1.45770831550954	0.373300862935714
ZBTB7C	1	1	1	1	1	1
ZBTB8A	1	1	1	1	1	1
ZBTB8B	1	1	1	1	1	1
ZC3H8	1	1	1	1	1	1
ZEB1	-0.456029333401311	0.926766352502805	-0.157962790416294	0.92343487065928	-1.70769036017793	0.282677817838478
ZEB2	-0.0497737263770173	0.989454750410301	-0.456842858693714	0.821972039221043	0.552818120017156	0.778003674234246
ZFAT	1	1	1	1	1	1
ZFHX2	1	1	1	1	1	1
ZFHX3	-0.178452964868697	0.967142630640593	-0.983805260346489	0.599510875991041	-0.958336015683037	0.584744062724199
ZFHX4	1	1	1	1	1	1
ZFP1	1	1	1	1	1	1
ZFP42	0.0359292917121092	0.991672390058397	1.44862030489847	0.396237109415855	1.21673668203423	0.479038609992406
ZFP57	1	1	1	1	1	1
ZFP64	1	1	1	1	1	1
ZFP90	1	1	1	1	1	1
ZFPM1	1	1	1	1	1	1
ZFPM2	0.600588025242834	0.890878923531095	2.89047347995125	0.0336287826491722	2.34149502662343	0.113084239062651
ZFX	1	1	1	1	1	1
ZGLP1	0.261513611160032	0.957975387322644	-0.714526634465512	0.695477713005515	-1.54686132737577	0.336528177308296
ZGPAT	1	1	1	1	1	1
ZHX1	1	1	1	1	1	1
ZHX2	0.0783991833860345	0.980814251074411	-1.04123784423224	0.557826319620883	0.383174511760633	0.845130785924192
ZHX3	1	1	1	1	1	1
ZIC1	1.19578812359247	0.688229811176503	1.69859029661587	0.298160267473448	2.10888868805903	0.159892521009967
ZIC2	1	1	1	1	1	1
ZIC3	1	1	1	1	1	1
ZIK1	1	1	1	1	1	1
ZKSCAN3	1	1	1	1	1	1
ZKSCAN4	1	1	1	1	1	1
ZKSCAN7	1	1	1	1	1	1
ZMIZ1	1	1	1	1	1	1
ZMYND11	1	1	1	1	1	1
ZMYND8	1	1	1	1	1	1
ZNF134	1	1	1	1	1	1
ZNF135	1	1	1	1	1	1
ZNF14	1	1	1	1	1	1
ZNF140	1	1	1	1	1	1
ZNF143	0.583075132510498	0.902316344521387	0.151688445813056	0.92343487065928	-0.355875317844818	0.857110872135862
ZNF148	1.77813710146405	0.402731789996649	1.27552052556703	0.451307289393809	0.833715024095055	0.650035647176787
ZNF16	1	1	1	1	1	1
ZNF160	-0.438942105580437	0.926766352502805	0.517758599317583	0.794691594732903	1.19551492783055	0.482719457116115
ZNF165	1	1	1	1	1	1
ZNF174	1	1	1	1	1	1
ZNF175	1	1	1	1	1	1
ZNF184	1	1	1	1	1	1
ZNF189	1	1	1	1	1	1
ZNF195	1	1	1	1	1	1
ZNF2	1	1	1	1	1	1
ZNF20	1	1	1	1	1	1
ZNF202	1	1	1	1	1	1
ZNF205	1	1	1	1	1	1
ZNF217	1	1	1	1	1	1
ZNF219	1	1	1	1	1	1
ZNF224	1	1	1	1	1	1
ZNF230	1	1	1	1	1	1
ZNF236	-1.56562121126573	0.525281661634938	0.149571672172748	0.92343487065928	-2.23575855958511	0.133064544550011
ZNF239	1	1	1	1	1	1
ZNF24	0.246209165303901	0.958320052016899	1.62777447336873	0.323599111535888	-0.0650056644201437	0.971747417174357
ZNF250	1	1	1	1	1	1
ZNF256	1	1	1	1	1	1
ZNF260	1	1	1	1	1	1
ZNF263	0.966303645316892	0.736500811450878	0.428928388282054	0.830650369146394	-0.214900980122591	0.922582444034133
ZNF266	1	1	1	1	1	1
ZNF267	1	1	1	1	1	1
ZNF268	1	1	1	1	1	1
ZNF274	1	1	1	1	1	1
ZNF277	1	1	1	1	1	1
ZNF281	1	1	1	1	1	1
ZNF287	1	1	1	1	1	1
ZNF292	1	1	1	1	1	1
ZNF296	1	1	1	1	1	1
ZNF300	0.28129379820744	0.957975387322644	0.752353846085315	0.678934103754416	1.58792265553189	0.3251824076272
ZNF304	1	1	1	1	1	1
ZNF316	1	1	1	1	1	1
ZNF32	1	1	1	1	1	1
ZNF322	1	1	1	1	1	1
ZNF331	-0.367119857171955	0.933354452316719	-1.42726784787554	0.404434066063246	-0.385652380652348	0.844948015920688
ZNF335	0.595969723714384	0.893370158098353	1.16439231761495	0.50306301881367	2.13402039179797	0.157422817137925
ZNF350	0.576488985219908	0.903951259136266	2.21097408843042	0.131098431490771	1.96871925892392	0.198590921674585
ZNF354C	1.06060186905056	0.712599467416434	2.08223357563105	0.173663690989238	1.24810982345039	0.468510080431317
ZNF362	0.727118638750572	0.824304108703942	1.74451392160004	0.27576245117379	2.93398815147132	0.0344795605215128
