external_gene_name	description	uniprotswissprot	uniprot_gn_symbol
OR4D9	olfactory receptor family 4 subfamily D member 9 [Source:HGNC Symbol;Acc:HGNC:15178]	Q8NGE8	OR4D9
ARID3B	AT-rich interaction domain 3B [Source:HGNC Symbol;Acc:HGNC:14350]	Q8IVW6	ARID3B
OR2A12	olfactory receptor family 2 subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:15082]	Q8NGT7	OR2A12
CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit [Source:HGNC Symbol;Acc:HGNC:2084]		CLPP
OR2A14	olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]	Q96R47	OR2A14
ARID3B	AT-rich interaction domain 3B [Source:HGNC Symbol;Acc:HGNC:14350]		ARID3B
NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	Q16620	NTRK2
ZNF410	zinc finger protein 410 [Source:HGNC Symbol;Acc:HGNC:20144]	Q86VK4	ZNF410
ALKBH7	alkB homolog 7 [Source:HGNC Symbol;Acc:HGNC:21306]	Q9BT30	ALKBH7
ALKBH7	alkB homolog 7 [Source:HGNC Symbol;Acc:HGNC:21306]		ALKBH7
PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	Q13093	PLA2G7
PRKRA	protein activator of interferon induced protein kinase EIF2AK2 [Source:HGNC Symbol;Acc:HGNC:9438]	O75569	PRKRA
SARNP	SAP domain containing ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:24432]	P82979	SARNP
ZNF410	zinc finger protein 410 [Source:HGNC Symbol;Acc:HGNC:20144]		ZNF410
RBM33	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]	Q96EV2	RBM33
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	P08319	ADH4
SARNP	SAP domain containing ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:24432]		SARNP
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]		ADH4
MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]	Q7Z7H8	MRPL10
ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	Q2M1K9	ZNF423
ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]		ZNF423
MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]		MRPL10
PCP4L1	Purkinje cell protein 4 like 1 [Source:HGNC Symbol;Acc:HGNC:20448]	A6NKN8	PCP4L1
RBM33	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]		RBM33
LRRC46	leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]		LRRC46
AGBL1	AGBL carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:26504]		AGBL1
ORMDL2	ORMDL sphingolipid biosynthesis regulator 2 [Source:HGNC Symbol;Acc:HGNC:16037]		ORMDL2
CFAP126	cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325]	Q5VTH2	CFAP126
AGBL1	AGBL carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:26504]	Q96MI9	AGBL1
LRRC46	leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]	Q96FV0	LRRC46
ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	Q8IZF2	ADGRF5
ORMDL2	ORMDL sphingolipid biosynthesis regulator 2 [Source:HGNC Symbol;Acc:HGNC:16037]	Q53FV1	ORMDL2
ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]		ADCY7
GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	P36382	GJA5
NICN1	nicolin 1, tubulin polyglutamylase complex subunit [Source:HGNC Symbol;Acc:HGNC:18317]	Q9BSH3	NICN1
PJVK	pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]		PJVK
GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]		GJA5
SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	Q15465	SHH
GJA8	gap junction protein alpha 8 [Source:HGNC Symbol;Acc:HGNC:4281]	P48165	GJA8
SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]		SHH
SAMD15	sterile alpha motif domain containing 15 [Source:HGNC Symbol;Acc:HGNC:18631]		SAMD15
PJVK	pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]	Q0ZLH3	PJVK
NICN1	nicolin 1, tubulin polyglutamylase complex subunit [Source:HGNC Symbol;Acc:HGNC:18317]		NICN1
SAMD15	sterile alpha motif domain containing 15 [Source:HGNC Symbol;Acc:HGNC:18631]	Q9P1V8	SAMD15
AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	Q92482	AQP3
AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]		AQP3
GTF2F1	general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]	P35269	GTF2F1
GTF2F1	general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]		GTF2F1
NOXRED1	NADP dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20487]	Q6NXP6	NOXRED1
FNIP1	folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418]	Q8TF40	FNIP1
NOXRED1	NADP dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20487]		NOXRED1
FNIP1	folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418]		FNIP1
SCRN2	secernin 2 [Source:HGNC Symbol;Acc:HGNC:30381]	Q96FV2	SCRN2
TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]		TMOD2
SCRN2	secernin 2 [Source:HGNC Symbol;Acc:HGNC:30381]		SCRN2
HRH2	histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]	P25021	HRH2
HRH2	histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]		HRH2
PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]	Q9HB20	PLEKHA3
MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	Q99542	MMP19
PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]		PLEKHA3
MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]		MMP19
BSN	bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117]	Q9UPA5	BSN
TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	Q9NZR1	TMOD2
SLC25A41	solute carrier family 25 member 41 [Source:HGNC Symbol;Acc:HGNC:28533]	Q8N5S1	SLC25A41
GPR89B	G protein-coupled receptor 89B [Source:HGNC Symbol;Acc:HGNC:13840]		GPR89B
BTF3	basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]	P20290	BTF3
BTF3	basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]		BTF3
STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	Q8NFX7	STXBP6
KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]		KPNA2
SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	P62308	SNRPG
PAEP	progestagen associated endometrial protein [Source:HGNC Symbol;Acc:HGNC:8573]		PAEP
STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]		STXBP6
SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]		SNRPG
SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]		SLC25A23
IRGM	immunity related GTPase M [Source:HGNC Symbol;Acc:HGNC:29597]	A1A4Y4	IRGM
KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	P52292	KPNA2
IRGM	immunity related GTPase M [Source:HGNC Symbol;Acc:HGNC:29597]		IRGM
POLR3A	RNA polymerase III subunit A [Source:HGNC Symbol;Acc:HGNC:30074]	O14802	POLR3A
PAEP	progestagen associated endometrial protein [Source:HGNC Symbol;Acc:HGNC:8573]	P09466	PAEP
POLR3A	RNA polymerase III subunit A [Source:HGNC Symbol;Acc:HGNC:30074]		POLR3A
RNF32	ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118]		RNF32
APEH	acylaminoacyl-peptide hydrolase [Source:HGNC Symbol;Acc:HGNC:586]		APEH
PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	P16284	PECAM1
PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]		PECAM1
GLT6D1	glycosyltransferase 6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23671]	Q7Z4J2	GLT6D1
	novel beta-lactoglobulin-like protein		LOC102723971
LCN9	lipocalin 9 [Source:HGNC Symbol;Acc:HGNC:17442]	Q8WX39	LCN9
LCN9	lipocalin 9 [Source:HGNC Symbol;Acc:HGNC:17442]		LCN9
RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]		RAD51B
SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]	Q9BV35	SLC25A23
RNF32	ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118]	Q9H0A6	RNF32
PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]		PSMC3
PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]	P17980	PSMC3
TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]		TRAF2
GPR89B	G protein-coupled receptor 89B [Source:HGNC Symbol;Acc:HGNC:13840]	P0CG08	GPR89B
RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]	O15315	RAD51B
CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	Q9NWW5	CLN6
CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]		CLN6
ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	P51828	ADCY7
RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]		RPS24
OR52N5	olfactory receptor family 52 subfamily N member 5 [Source:HGNC Symbol;Acc:HGNC:15231]	Q8NH56	OR52N5
AZIN1	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]	O14977	AZIN1
MILR1	mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]	Q7Z6M3	MILR1
RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	P62847	RPS24
OR56A4	olfactory receptor family 56 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:14791]	Q8NGH8	OR56A4
OR56A4	olfactory receptor family 56 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:14791]		OR56A4
MILR1	mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]		MILR1
OR52A5	olfactory receptor family 52 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:19580]	Q9H2C5	OR52A5
DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]		DGKA
OR8D1	olfactory receptor family 8 subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:8481]	Q8WZ84	OR8D1
TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	Q12933	TRAF2
OR5B3	olfactory receptor family 5 subfamily B member 3 [Source:HGNC Symbol;Acc:HGNC:8324]	Q8NH48	OR5B3
AZIN1	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]		AZIN1
FBXO33	F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]	Q7Z6M2	FBXO33
FBXO33	F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]		FBXO33
AJM1	apical junction component 1 homolog [Source:HGNC Symbol;Acc:HGNC:37284]	C9J069	AJM1
MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	Q96JE9	MAP6
SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	Q01105	SET
OR52A1	olfactory receptor family 52 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8318]	Q9UKL2	OR52A1
OR5A2	olfactory receptor family 5 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15249]	Q8NGI9	OR5A2
SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]		SET
APEH	acylaminoacyl-peptide hydrolase [Source:HGNC Symbol;Acc:HGNC:586]	P13798	APEH
OR10G7	olfactory receptor family 10 subfamily G member 7 [Source:HGNC Symbol;Acc:HGNC:14842]	Q8NGN6	OR10G7
OR52N1	olfactory receptor family 52 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:14853]	Q8NH53	OR52N1
OR5B2	olfactory receptor family 5 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:8323]	Q96R09	OR5B2
FAM90A15P	family with sequence similarity 90 member A15, pseudogene [Source:HGNC Symbol;Acc:HGNC:32263]	P0C7V4	FAM90A15P
FAM90A3P	family with sequence similarity 90 member A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:32251]		
OR5M3	olfactory receptor family 5 subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:14806]	Q8NGP4	OR5M3
POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	Q9UHN1	POLG2
OR8B8	olfactory receptor family 8 subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:8477]	Q15620	OR8B8
POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]		POLG2
FAM90A13P	family with sequence similarity 90 member A13, pseudogene [Source:HGNC Symbol;Acc:HGNC:32261]	P0C7W8	FAM90A13P
OR1L8	olfactory receptor family 1 subfamily L member 8 [Source:HGNC Symbol;Acc:HGNC:15110]	Q8NGR8	OR1L8
FAM90A5P	family with sequence similarity 90 member A5, pseudogene [Source:HGNC Symbol;Acc:HGNC:32253]	A8MXJ8	FAM90A5P
FAM90A20P	family with sequence similarity 90 member A20, pseudogene [Source:HGNC Symbol;Acc:HGNC:32268]	A6NIJ5	FAM90A20P
TERB2	telomere repeat binding bouquet formation protein 2 [Source:HGNC Symbol;Acc:HGNC:28520]	Q8NHR7	TERB2
TERB2	telomere repeat binding bouquet formation protein 2 [Source:HGNC Symbol;Acc:HGNC:28520]		TERB2
LMBR1	limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]	Q8WVP7	LMBR1
INSYN1	inhibitory synaptic factor 1 [Source:HGNC Symbol;Acc:HGNC:33753]	Q2T9L4	INSYN1
TENT4B	terminal nucleotidyltransferase 4B [Source:HGNC Symbol;Acc:HGNC:30758]	Q8NDF8	TENT4B
TENT4B	terminal nucleotidyltransferase 4B [Source:HGNC Symbol;Acc:HGNC:30758]		TENT4B
USP17L1	ubiquitin specific peptidase 17 like family member 1 [Source:HGNC Symbol;Acc:HGNC:37182]	Q7RTZ2	USP17L1
ZNF618	zinc finger protein 618 [Source:HGNC Symbol;Acc:HGNC:29416]	Q5T7W0	ZNF618
INSYN1	inhibitory synaptic factor 1 [Source:HGNC Symbol;Acc:HGNC:33753]		INSYN1
ZNF618	zinc finger protein 618 [Source:HGNC Symbol;Acc:HGNC:29416]		ZNF618
USP17L4	ubiquitin specific peptidase 17 like family member 4 [Source:HGNC Symbol;Acc:HGNC:37176]	A6NCW7	USP17L4
ZNF705G	zinc finger protein 705G [Source:HGNC Symbol;Acc:HGNC:37134]	A8MUZ8	ZNF705G
LMBR1	limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]		LMBR1
EXD1	exonuclease 3'-5' domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28507]	Q8NHP7	EXD1
EXD1	exonuclease 3'-5' domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28507]		EXD1
MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	O15021	MAST4
MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]		MAST4
STARD10	StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]		STARD10
PLA2G4B	phospholipase A2 group IVB [Source:HGNC Symbol;Acc:HGNC:9036]	P0C869	PLA2G4B
SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	Q9HAU4	SMURF2
PLA2G4B	phospholipase A2 group IVB [Source:HGNC Symbol;Acc:HGNC:9036]		PLA2G4B
DXO	decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]		DOM3Z
DXO	decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]		DXO
SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]		SMURF2
CNTNAP3	contactin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:13834]	Q9BZ76	CNTNAP3
ANKRD17	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]	O75179	ANKRD17
FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]	Q9BZS1	FOXP3
ANKRD17	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]		ANKRD17
CNTNAP3	contactin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:13834]		CNTNAP3
NOM1	nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244]	Q5C9Z4	NOM1
FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]		FOXP3
CDH5	cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]	P33151	CDH5
CDH5	cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]		CDH5
MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]		MNX1
	novel protein		FOXP3
MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	P50219	MNX1
STARD10	StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]	Q9Y365	STARD10
PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	P00558	PGK1
PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	P00558	HEL-S-68p
RNF123	ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148]		RNF123
DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	P23743	DGKA
CRB2	crumbs cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:18688]	Q5IJ48	CRB2
RHOXF1P3	Rhox homeobox family member 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:51612]		
PRR23D2	proline rich 23 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:49396]	P0DMB1	PRR23D2
MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	Q96JK9	MAML3
CKLF	chemokine like factor [Source:HGNC Symbol;Acc:HGNC:13253]		CKLF-CMTM1
CKLF	chemokine like factor [Source:HGNC Symbol;Acc:HGNC:13253]		CKLF
MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]		MAML3
ZNF280D	zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]	Q6N043	ZNF280D
DEFB105A	defensin beta 105A [Source:HGNC Symbol;Acc:HGNC:18087]	Q8NG35	HEL-S-289
DEFB105A	defensin beta 105A [Source:HGNC Symbol;Acc:HGNC:18087]	Q8NG35	DEFB105A
RHOXF2B	Rhox homeobox family member 2B [Source:HGNC Symbol;Acc:HGNC:33519]	P0C7M4	RHOXF2B
LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]		LHX2
RHOXF1	Rhox homeobox family member 1 [Source:HGNC Symbol;Acc:HGNC:29993]	Q8NHV9	RHOXF1
RHOXF1	Rhox homeobox family member 1 [Source:HGNC Symbol;Acc:HGNC:29993]		RHOXF1
CKLF	chemokine like factor [Source:HGNC Symbol;Acc:HGNC:13253]	Q9UBR5	CKLF-CMTM1
CKLF	chemokine like factor [Source:HGNC Symbol;Acc:HGNC:13253]	Q9UBR5	CKLF
LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	P50458	LHX2
RHOXF2	Rhox homeobox family member 2 [Source:HGNC Symbol;Acc:HGNC:30011]	Q9BQY4	RHOXF2
ZCCHC4	zinc finger CCHC-type containing 4 [Source:HGNC Symbol;Acc:HGNC:22917]	Q9H5U6	ZCCHC4
CKLF-CMTM1	CKLF-CMTM1 readthrough [Source:HGNC Symbol;Acc:HGNC:39977]		CKLF-CMTM1
ZNF705B	zinc finger protein 705B [Source:HGNC Symbol;Acc:HGNC:32284]	P0CI00	ZNF705B
DOCK8	dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]		DOCK8
CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	P49662	CASP4
ZCCHC4	zinc finger CCHC-type containing 4 [Source:HGNC Symbol;Acc:HGNC:22917]		ZCCHC4
ZBTB33	zinc finger and BTB domain containing 33 [Source:HGNC Symbol;Acc:HGNC:16682]	Q86T24	ZBTB33
USP17L8	ubiquitin specific peptidase 17 like family member 8 [Source:HGNC Symbol;Acc:HGNC:37181]	P0C7I0	USP17L8
USP17L3	ubiquitin specific peptidase 17 like family member 3 [Source:HGNC Symbol;Acc:HGNC:37175]	A6NCW0	USP17L3
DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	Q16643	DBN1
CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]		CASP4
FAM90A11P	family with sequence similarity 90 member A11, pseudogene [Source:HGNC Symbol;Acc:HGNC:32259]		
FAM90A24P	family with sequence similarity 90 member A24, pseudogene [Source:HGNC Symbol;Acc:HGNC:32272]	P0C7X0	FAM90A24P
FAM90A12P	family with sequence similarity 90 member A12, pseudogene [Source:HGNC Symbol;Acc:HGNC:32260]	A8MX19	FAM90A12P
CMTM2	CKLF like MARVEL transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19173]	Q8TAZ6	CMTM2
CMTM2	CKLF like MARVEL transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19173]		CMTM2
DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]		DBN1
PCDHGB6	protocadherin gamma subfamily B, 6 [Source:HGNC Symbol;Acc:HGNC:8713]	Q9Y5F9	PCDHGB6
CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]		CASP5
GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]		GCK
CMTM3	CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]		CMTM3
RNF123	ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148]	Q5XPI4	RNF123
INTS12	integrator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:25067]	Q96CB8	INTS12
GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	P35557	GCK
TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	Q5JRV8	TMEM255A
INTS12	integrator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:25067]		INTS12
TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]		TMEM255A
C7orf33	chromosome 7 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:21724]	Q8WU49	C7orf33
CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	P51878	CASP5
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]		EZH2
NHSL2	NHS like 2 [Source:HGNC Symbol;Acc:HGNC:33737]	Q5HYW2	NHSL2
NHSL2	NHS like 2 [Source:HGNC Symbol;Acc:HGNC:33737]		NHSL2
AMIGO3	adhesion molecule with Ig like domain 3 [Source:HGNC Symbol;Acc:HGNC:24075]	Q86WK7	AMIGO3
ZNF280D	zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]		ZNF280D
PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]		PIN4
EBAG9	estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123]	O00559	EBAG9
EBAG9	estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123]		EBAG9
LPAR5	lysophosphatidic acid receptor 5 [Source:HGNC Symbol;Acc:HGNC:13307]	Q9H1C0	LPAR5
LPAR5	lysophosphatidic acid receptor 5 [Source:HGNC Symbol;Acc:HGNC:13307]	Q9H1C0	KPG_010
BCL2L10	BCL2 like 10 [Source:HGNC Symbol;Acc:HGNC:993]	Q9HD36	BCL2L10
BCL2L10	BCL2 like 10 [Source:HGNC Symbol;Acc:HGNC:993]		BCL2L10
DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	P17844	DDX5
HECTD1	HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]	Q9ULT8	HECTD1
PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]	Q9Y237	PIN4
CMTM3	CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]	Q96MX0	CMTM3
MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	O95140	MFN2
MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]		MFN2
DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]		DDX5
ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:HGNC Symbol;Acc:HGNC:20794]		ERCC6L
ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:HGNC Symbol;Acc:HGNC:20794]	Q2NKX8	ERCC6L
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	Q8IVU3	HERC6
HECTD1	HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]		HECTD1
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]		HERC6
RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	P62701	RPS4X
TMCO2	transmembrane and coiled-coil domains 2 [Source:HGNC Symbol;Acc:HGNC:23312]	Q7Z6W1	TMCO2
